world,controller,trial,duration_wall,duration_sim,distance,final_x,final_y,mean_abs_y,max_abs_y,mean_confidence,min_confidence,mean_width,min_width,mean_safety_margin,min_safety_margin,centerline_loss_ratio,obstacle_ratio,mean_speed_cmd,end_reason
towrow.world,pid,1,12.159496304993809,12.206000000000017,7.014301636588481e-05,7.965209199432789e-05,1.7742622868877008e-07,1.474540670876189e-07,1.7742622868877008e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
towrow.world,pid,2,12.160283004996018,12.206000000000017,7.014301710169351e-05,7.965209283551872e-05,1.7742713165244528e-07,1.4745503835708786e-07,1.7742713165244528e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
towrow.world,pid,3,12.160778548997769,12.206000000000017,7.01430178526625e-05,7.965209367822006e-05,1.774268011131762e-07,1.4745479717168696e-07,1.774268011131762e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
towrow.world,pure_pursuit,1,12.161191734994645,12.20599999999996,7.014301646179434e-05,7.965209210739716e-05,1.7742649644849006e-07,1.4749308908714356e-07,1.7742649644849006e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
towrow.world,pure_pursuit,2,12.161409601998457,12.206000000000017,7.014301719336473e-05,7.965209293864977e-05,1.7742709189106593e-07,1.474550100943239e-07,1.7742709189106593e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
towrow.world,pure_pursuit,3,12.194387206000101,12.240000000000009,7.034116209908926e-05,7.985023786559898e-05,1.7759608541712994e-07,1.475842439957202e-07,1.7759608541712994e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
corn_leaf_world.world,pid,1,12.161551480996422,12.206000000000017,7.014301643230712e-05,7.965209207241126e-05,1.7742641472185242e-07,1.4745425890642928e-07,1.7742641472185242e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
corn_leaf_world.world,pid,2,12.160235313000157,12.206000000000017,7.014301716456488e-05,7.965209290626638e-05,1.7742710481113394e-07,1.4745501934262912e-07,1.7742710481113394e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
corn_leaf_world.world,pid,3,12.169040706001397,12.206000000000017,7.014301791281625e-05,7.965209374748063e-05,1.7742676259916543e-07,1.474834680421789e-07,1.7742676259916543e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
corn_leaf_world.world,pure_pursuit,1,12.193939683005738,12.240000000000009,7.034116060512468e-05,7.983338874099953e-05,1.7733512583473016e-07,1.473558504726254e-07,1.7733512583473016e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
corn_leaf_world.world,pure_pursuit,2,12.161169268998492,12.205999999999904,7.014301719329126e-05,7.965209293867319e-05,1.7742709510754898e-07,1.474550134036666e-07,1.7742709510754898e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
corn_leaf_world.world,pure_pursuit,3,12.157791245997942,12.206000000000017,7.01430179393222e-05,7.965209377821039e-05,1.774267445165418e-07,1.4745475472726045e-07,1.774267445165418e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,no_valid_centerline_at_start
